id,published_date,company,order_type,provisions,product,title,url,pdf_url,fiscal_year
"035684","2023-12-19","株式会社ハハハラボ","措置命令","第5条第1号(優良誤認) / 第7条第1項","メラット","株式会社ハハハラボに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/035684/","","2023"
"035547","2023-12-05","株式会社アリュール","措置命令","第5条第1号(優良誤認) / 第7条第1項","スリムサポ(SlimSapo)","株式会社アリュールに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/035547/","","2023"
"035435","2023-11-22","レック株式会社","課徴金納付命令","第8条第1項","ノロウィルバルサン","レック株式会社に対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/035435/","","2023"
"035090","2023-10-31","糖質カット炊飯器の販売事業者3社","措置命令","第5条第1号(優良誤認) / 第7条第1項","","糖質カット炊飯器の販売事業者3社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/035090/","","2023"
"034955","2023-10-05","マルキユー株式会社","課徴金納付命令","第8条第1項","","マルキユー株式会社に対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/034955/","","2023"
"034434","2023-08-30","中国電力株式会社","措置命令","第5条第2号(有利誤認) / 第7条第1項","ぐっとずっと。プラン スマートコース","中国電力株式会社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/034434/","","2023"
"034161","2023-08-01","株式会社バンザン","課徴金納付命令","第8条第1項","メガスタ高校生","株式会社バンザンに対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/034161/","","2023"
"034122","2023-07-28","北海道電力株式会社","措置命令","第5条第2号(有利誤認) / 第7条第1項","","北海道電力株式会社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/034122/","","2023"
"034106","2023-07-26","沖縄特産販売株式会社","課徴金納付命令","第8条第1項","養力珪素","沖縄特産販売株式会社に対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/034106/","","2023"
"033865","2023-06-30","さくらフォレスト株式会社","措置命令","第5条第1号(優良誤認) / 第7条第1項","きなり匠","さくらフォレスト株式会社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/033865/","","2023"
"033782","2023-06-27","株式会社ドミノ・ピザジャパン","措置命令","第5条第2号(有利誤認) / 第7条第1項","","株式会社ドミノ・ピザジャパンに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/033782/","","2023"
"033742","2023-06-23","富士通クライアントコンピューティング株式会社","措置命令","第5条第2号(有利誤認) / 第7条第1項","","富士通クライアントコンピューティング株式会社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/033742/","","2023"
"033617","2023-06-14","株式会社バウムクーヘン","措置命令","第5条第1号(優良誤認) / 第7条第1項","アイズワン","株式会社バウムクーヘンに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/033617/","","2023"
"033262","2023-05-19","株式会社W-ENDLESS","課徴金納付命令","第8条第1項","Dr.味噌汁","株式会社W-ENDLESSに対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/033262/","","2023"
"033252","2023-05-17","大木製薬株式会社","課徴金納付命令","第8条第1項","ウイルオフ ストラップタイプ","大木製薬株式会社に対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/033252/","","2023"
"033092","2023-04-27","株式会社ゼンワールド","措置命令","第5条第1号(優良誤認) / 第7条第1項","エアープロット","株式会社ゼンワールドに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/033092/","","2023"
"032797","2023-04-11","大幸薬品株式会社","課徴金納付命令","第8条第1項","クレベリン 置き型 150g","大幸薬品株式会社に対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/032797/","","2023"
"032639","2023-03-30","株式会社アクガレージ","課徴金納付命令","第8条第1項","ジュエルアップ","株式会社アクガレージに対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/032639/","","2022"
"032563","2023-03-24","株式会社シーズコーポレーション","課徴金納付命令","第8条第1項","seeds糖鎖","株式会社シーズコーポレーションに対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/032563/","","2022"
"032320","2023-03-02","株式会社5コーポレーション","措置命令","第5条第2号(有利誤認) / 第7条第1項","毎日コース(定額)","株式会社5コーポレーションに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/032320/","","2022"
"032152","2023-02-16","コンサートの提供事業者3社","措置命令","第5条第1号(優良誤認) / 第7条第1項","","コンサートの提供事業者3社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/032152/","","2022"
"032143","2023-02-14","マクセル株式会社","課徴金納付命令","第8条第1項","オゾン除菌消臭器 オゾネオ エアロ MXAP-AE270","マクセル株式会社に対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/032143/","","2022"
"032123","2023-02-10","四輪車等の燃費向上効果等を標ぼうする商品の製造販売業者2社","措置命令","第5条第1号(優良誤認) / 第7条第1項","","四輪車等の燃費向上効果等を標ぼうする商品の製造販売業者2社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/032123/","","2022"
"032096","2023-02-08","ビジョンズ株式会社","課徴金納付命令","第8条第1項","プルマモア マッサージ&モイストボディクリーム","ビジョンズ株式会社に対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/032096/","","2022"
"031954","2023-01-27","株式会社ボネックス","課徴金納付命令","第8条第1項","","株式会社ボネックスに対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/031954/","","2022"
"031952","2023-01-27","株式会社ファイテック","課徴金納付命令","第8条第1項","","株式会社ファイテックに対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/031952/","","2022"
"031886","2023-01-24","アシスト株式会社","課徴金納付命令","第8条第1項","ジュエルアップ","アシスト株式会社に対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/031886/","","2022"
"031846","2023-01-20","株式会社CLO2 Lab","課徴金納付命令","第8条第1項","オキサイダー 置き型 320g","株式会社CLO2 Labに対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/031846/","","2022"
"031801","2023-01-18","キリンビバレッジ株式会社","課徴金納付命令","第8条第1項","トロピカーナ 100% まるごと果実感 メロンテイスト","キリンビバレッジ株式会社に対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/031801/","","2022"
"031751","2023-01-12","株式会社バンザン","措置命令","第5条第1号(優良誤認) / 第7条第1項","メガスタ高校生","株式会社バンザンに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/031751/","","2022"
